simulation_id,location,altitude_m,dominant_heat_loss_component,secondary_heat_loss_component,wall_loss_kwh,roof_loss_kwh,floor_loss_kwh,glazing_loss_kwh,infiltration_loss_kwh,sky_loss_kwh,total_loss_kwh,wall_loss_pct,roof_loss_pct,floor_loss_pct,glazing_loss_pct,infiltration_loss_pct,sky_loss_pct,sum_loss_pct,recommended_intervention,intervention_reason,min_indoor_temperature_C,max_indoor_temperature_C,avg_indoor_temperature_C,comfort_hours,hours_below_18C
SIM_000011,Depsang,5330.0,FLOOR,INFILTRATION,3.999,1.401,10.059,1.212,5.877,0.26,22.806,17.53,6.14,44.11,5.31,25.77,1.14,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-44.7,-38.56,-41.41,0,24
SIM_000012,Kargil,2676.0,FLOOR,ROOF,1.886,8.339,9.359,0.7,2.839,0.59,23.712,7.96,35.17,39.47,2.95,11.97,2.49,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-16.74,-9.73,-12.21,0,24
SIM_000013,Leh,3500.0,FLOOR,WALL,4.815,1.611,14.601,3.426,0.329,0.076,24.858,19.37,6.48,58.74,13.78,1.32,0.3,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.64,-5.97,-8.84,0,24
SIM_000014,Dras,3280.0,FLOOR,INFILTRATION,1.822,1.141,4.352,0.035,3.178,0.128,10.655,17.1,10.71,40.84,0.33,29.83,1.2,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.08,-14.21,-18.16,0,24
SIM_000015,Siachen,5400.0,FLOOR,INFILTRATION,1.561,0.805,7.617,1.19,2.771,0.043,13.988,11.16,5.76,54.46,8.51,19.81,0.31,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-32.31,-29.31,-30.39,0,24
SIM_000016,Daulat Beg Oldie,5065.0,ROOF,FLOOR,1.866,14.419,9.439,0.128,3.33,2.163,31.345,5.95,46.0,30.11,0.41,10.62,6.9,99.99,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-49.36,-38.43,-43.11,0,24
SIM_000017,Galwan,4300.0,FLOOR,INFILTRATION,4.658,3.714,33.387,1.873,6.276,0.288,50.196,9.28,7.4,66.51,3.73,12.5,0.57,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.15,-15.65,-16.96,0,24
SIM_000018,Hanle,4500.0,FLOOR,GLAZING,1.259,0.841,6.409,2.04,0.903,0.118,11.571,10.88,7.27,55.39,17.63,7.8,1.02,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.25,-21.04,-23.2,0,24
SIM_000019,Nyoma,4180.0,ROOF,FLOOR,1.755,16.302,12.436,2.698,7.566,2.579,43.335,4.05,37.62,28.7,6.22,17.46,5.95,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-32.64,-22.58,-26.53,0,24
SIM_000020,Chushul,4350.0,FLOOR,WALL,15.226,1.358,18.046,1.134,12.383,0.136,48.284,31.53,2.81,37.37,2.35,25.65,0.28,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.5,-19.8,-21.86,0,24
SIM_000021,Rezang La,5000.0,FLOOR,WALL,4.24,1.803,5.554,0.475,3.948,0.228,16.249,26.1,11.1,34.18,2.92,24.3,1.4,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-30.15,-28.14,-29.14,0,24
SIM_000022,Pangong,4250.0,FLOOR,INFILTRATION,1.457,0.82,5.359,0.799,4.463,0.165,13.063,11.15,6.28,41.03,6.12,34.16,1.26,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-17.48,-12.34,-14.21,0,24
SIM_000023,Depsang,5330.0,WALL,FLOOR,9.665,1.9,7.44,0.83,2.56,0.008,22.404,43.14,8.48,33.21,3.7,11.42,0.04,99.99,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-34.96,-30.54,-32.73,0,24
SIM_000024,Kargil,2676.0,FLOOR,INFILTRATION,3.146,0.952,10.883,0.614,9.813,0.151,25.559,12.31,3.73,42.58,2.4,38.39,0.59,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.68,-18.77,-22.27,0,24
SIM_000025,Leh,3500.0,FLOOR,INFILTRATION,2.146,1.048,8.257,1.746,2.524,0.348,16.068,13.35,6.52,51.39,10.87,15.71,2.16,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.37,-8.82,-10.4,0,24
SIM_000026,Dras,3280.0,FLOOR,INFILTRATION,3.094,1.64,11.468,0.104,6.043,0.212,22.56,13.71,7.27,50.83,0.46,26.79,0.94,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.94,-21.03,-24.56,0,24
SIM_000027,Siachen,5400.0,FLOOR,WALL,1.947,1.335,11.994,0.741,1.813,0.068,17.898,10.88,7.46,67.02,4.14,10.13,0.38,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-43.29,-37.86,-39.61,0,24
SIM_000028,Daulat Beg Oldie,5065.0,WALL,FLOOR,14.348,1.166,13.843,1.886,2.148,0.082,33.473,42.86,3.48,41.35,5.63,6.42,0.25,99.99,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-32.18,-27.61,-29.78,0,24
SIM_000029,Galwan,4300.0,FLOOR,INFILTRATION,3.309,0.635,10.927,0.695,8.095,0.095,23.756,13.93,2.67,45.99,2.93,34.08,0.4,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.02,-19.14,-22.94,0,24
SIM_000030,Hanle,4500.0,FLOOR,WALL,3.896,2.241,9.539,0.58,3.686,0.396,20.339,19.15,11.02,46.9,2.85,18.12,1.95,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.0,-9.19,-13.77,0,24
SIM_000031,Nyoma,4180.0,FLOOR,INFILTRATION,2.064,0.995,8.039,1.695,2.502,0.072,15.366,13.43,6.48,52.32,11.03,16.28,0.47,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.49,-11.36,-14.99,0,24
SIM_000032,Chushul,4350.0,FLOOR,WALL,2.3,0.697,4.93,0.138,2.158,0.061,10.285,22.37,6.78,47.93,1.34,20.98,0.6,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-39.69,-30.82,-35.15,0,24
SIM_000033,Rezang La,5000.0,WALL,FLOOR,12.405,1.538,11.906,1.99,2.889,0.138,30.867,40.19,4.98,38.57,6.45,9.36,0.45,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-24.8,-23.01,-23.71,0,24
SIM_000034,Pangong,4250.0,FLOOR,INFILTRATION,2.821,2.54,18.918,1.025,8.836,0.26,34.4,8.2,7.38,54.99,2.98,25.69,0.75,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-22.58,-17.35,-19.57,0,24
SIM_000035,Depsang,5330.0,FLOOR,GLAZING,0.952,0.898,6.075,3.428,0.718,0.06,12.13,7.85,7.4,50.08,28.26,5.92,0.49,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-45.1,-36.53,-40.69,0,24
SIM_000036,Kargil,2676.0,WALL,INFILTRATION,8.368,3.166,6.065,0.788,7.299,0.394,26.081,32.09,12.14,23.26,3.02,27.99,1.51,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-15.86,-10.91,-13.23,0,24
SIM_000037,Leh,3500.0,ROOF,FLOOR,1.628,9.222,6.892,0.278,3.576,1.109,22.705,7.17,40.62,30.36,1.22,15.75,4.88,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-17.21,-8.51,-12.04,0,24
SIM_000038,Dras,3280.0,ROOF,FLOOR,3.699,18.931,10.138,0.374,0.569,2.379,36.09,10.25,52.46,28.09,1.04,1.58,6.59,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-22.53,-13.61,-17.26,0,24
SIM_000039,Siachen,5400.0,FLOOR,GLAZING,0.533,0.476,4.346,1.582,0.679,0.057,7.673,6.94,6.2,56.64,20.63,8.85,0.75,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-34.52,-28.09,-30.73,0,24
SIM_000040,Daulat Beg Oldie,5065.0,FLOOR,ROOF,2.398,3.926,24.86,0.472,1.946,0.32,33.921,7.07,11.57,73.29,1.39,5.74,0.94,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-40.59,-35.8,-38.15,0,24
SIM_000041,Galwan,4300.0,FLOOR,INFILTRATION,2.454,2.055,10.557,0.452,5.308,0.204,21.029,11.67,9.77,50.2,2.15,25.24,0.97,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.44,-18.88,-20.96,0,24
SIM_000042,Hanle,4500.0,FLOOR,INFILTRATION,2.34,1.54,10.005,0.828,6.531,0.153,21.398,10.94,7.2,46.76,3.87,30.52,0.71,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.42,-17.37,-21.47,0,24
SIM_000043,Nyoma,4180.0,FLOOR,INFILTRATION,0.727,1.27,4.586,0.115,2.146,0.013,8.857,8.2,14.34,51.78,1.29,24.23,0.15,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-31.61,-26.48,-29.1,0,24
SIM_000044,Chushul,4350.0,FLOOR,INFILTRATION,1.802,1.308,17.782,0.48,3.559,0.15,25.082,7.19,5.21,70.89,1.92,14.19,0.6,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.99,-17.18,-20.39,0,24
SIM_000045,Rezang La,5000.0,ROOF,FLOOR,1.155,7.767,5.617,0.462,2.796,2.873,20.67,5.59,37.58,27.17,2.24,13.53,13.9,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-33.2,-25.18,-28.66,0,24
SIM_000046,Pangong,4250.0,FLOOR,INFILTRATION,2.61,1.706,7.231,0.976,4.84,0.172,17.535,14.89,9.73,41.24,5.56,27.6,0.98,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.22,-12.98,-15.92,0,24
SIM_000047,Depsang,5330.0,FLOOR,INFILTRATION,1.349,2.566,12.008,1.557,5.727,0.434,23.641,5.71,10.85,50.79,6.59,24.23,1.83,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-32.12,-27.39,-29.29,0,24
SIM_000048,Kargil,2676.0,FLOOR,INFILTRATION,1.781,1.667,12.818,0.954,1.989,0.144,19.353,9.2,8.61,66.23,4.93,10.28,0.74,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.4,-20.66,-21.81,0,24
SIM_000049,Leh,3500.0,FLOOR,INFILTRATION,0.743,1.161,3.265,0.165,2.755,0.53,8.62,8.62,13.47,37.88,1.91,31.96,6.15,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.43,-8.6,-11.0,0,24
SIM_000050,Dras,3280.0,FLOOR,INFILTRATION,2.628,2.732,16.293,0.332,8.476,0.151,30.612,8.58,8.93,53.23,1.08,27.69,0.49,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.2,-20.31,-24.29,0,24
SIM_000051,Siachen,5400.0,FLOOR,WALL,2.473,1.241,11.364,1.277,1.657,0.066,18.077,13.68,6.86,62.86,7.06,9.17,0.36,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-41.33,-37.45,-38.91,0,24
SIM_000052,Daulat Beg Oldie,5065.0,ROOF,FLOOR,3.416,8.143,7.615,2.02,2.546,1.298,25.038,13.64,32.52,30.41,8.07,10.17,5.19,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-37.36,-26.67,-30.56,0,24
SIM_000053,Galwan,4300.0,FLOOR,WALL,0.858,0.646,3.209,0.142,0.191,0.072,5.118,16.76,12.63,62.7,2.78,3.72,1.41,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-29.71,-20.86,-24.54,0,24
SIM_000054,Hanle,4500.0,FLOOR,WALL,4.064,1.44,6.802,0.154,0.4,0.252,13.112,30.99,10.99,51.87,1.18,3.05,1.92,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.72,-14.28,-16.82,0,24
SIM_000055,Nyoma,4180.0,FLOOR,ROOF,0.379,4.669,7.041,0.42,1.33,0.028,13.866,2.74,33.67,50.77,3.03,9.59,0.2,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.88,-12.8,-18.12,0,24
SIM_000056,Chushul,4350.0,FLOOR,ROOF,1.632,3.755,7.063,0.422,2.722,2.913,18.507,8.82,20.29,38.16,2.28,14.71,15.74,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-39.96,-32.41,-35.83,0,24
SIM_000057,Rezang La,5000.0,FLOOR,WALL,7.241,2.104,7.863,0.156,1.113,0.055,18.533,39.07,11.35,42.43,0.84,6.01,0.3,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-25.08,-23.49,-24.36,0,24
SIM_000058,Pangong,4250.0,FLOOR,INFILTRATION,2.861,1.169,13.322,0.509,11.766,0.129,29.757,9.61,3.93,44.77,1.71,39.54,0.43,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.55,-17.34,-20.02,0,24
SIM_000059,Depsang,5330.0,FLOOR,INFILTRATION,5.732,2.114,16.114,0.441,12.582,0.27,37.254,15.39,5.68,43.25,1.18,33.77,0.72,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-43.26,-37.59,-40.23,0,24
SIM_000060,Kargil,2676.0,FLOOR,INFILTRATION,2.804,1.422,7.187,0.045,4.781,0.088,16.326,17.17,8.71,44.02,0.28,29.28,0.54,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.93,-8.72,-10.88,0,24
SIM_000061,Leh,3500.0,FLOOR,INFILTRATION,1.718,0.877,5.432,0.817,3.108,0.09,12.042,14.27,7.28,45.11,6.78,25.81,0.75,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-15.54,-9.14,-11.8,0,24
SIM_000062,Dras,3280.0,WALL,FLOOR,5.525,0.284,3.542,1.402,2.559,0.081,13.393,41.26,2.12,26.45,10.47,19.11,0.6,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-21.08,-16.96,-18.6,0,24
SIM_000063,Siachen,5400.0,WALL,FLOOR,9.861,0.965,4.306,0.162,2.888,0.011,18.193,54.2,5.3,23.67,0.89,15.87,0.06,99.99,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-33.18,-28.71,-30.89,0,24
SIM_000064,Daulat Beg Oldie,5065.0,FLOOR,INFILTRATION,2.139,4.996,17.094,0.205,13.292,0.613,38.338,5.58,13.03,44.59,0.53,34.67,1.6,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-47.84,-36.82,-42.02,0,24
SIM_000065,Galwan,4300.0,FLOOR,INFILTRATION,6.362,2.225,19.874,0.278,10.53,0.311,39.579,16.07,5.62,50.21,0.7,26.6,0.78,99.98,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.51,-15.27,-19.3,0,24
SIM_000066,Hanle,4500.0,FLOOR,INFILTRATION,4.895,2.138,18.825,0.229,11.453,0.16,37.7,12.98,5.67,49.94,0.61,30.38,0.42,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.41,-17.79,-21.21,0,24
SIM_000067,Nyoma,4180.0,FLOOR,INFILTRATION,1.98,2.791,15.664,1.079,11.359,0.245,33.117,5.98,8.43,47.3,3.26,34.3,0.74,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.59,-23.3,-25.29,0,24
SIM_000068,Chushul,4350.0,FLOOR,INFILTRATION,1.65,0.606,4.319,0.203,2.432,0.085,9.294,17.75,6.52,46.47,2.18,26.16,0.91,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-29.48,-20.52,-24.73,0,24
SIM_000069,Rezang La,5000.0,WALL,ROOF,8.627,7.563,4.321,0.916,1.437,0.308,23.173,37.23,32.64,18.65,3.95,6.2,1.33,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-30.41,-25.96,-27.58,0,24
SIM_000070,Pangong,4250.0,FLOOR,INFILTRATION,2.536,1.311,16.175,0.738,7.107,0.116,27.983,9.06,4.68,57.8,2.64,25.4,0.41,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.83,-8.73,-11.41,0,24
SIM_000071,Depsang,5330.0,FLOOR,ROOF,3.638,13.018,15.933,1.595,0.919,2.954,38.057,9.56,34.21,41.87,4.19,2.42,7.76,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-33.82,-27.36,-30.49,0,24
SIM_000072,Kargil,2676.0,FLOOR,INFILTRATION,1.182,0.836,5.836,0.118,1.309,0.093,9.374,12.61,8.92,62.26,1.26,13.97,0.99,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.72,-19.88,-23.11,0,24
SIM_000073,Leh,3500.0,WALL,FLOOR,5.835,0.586,4.655,0.511,2.122,0.055,13.764,42.4,4.25,33.82,3.71,15.42,0.4,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-11.31,-8.5,-9.86,0,24
SIM_000074,Dras,3280.0,ROOF,FLOOR,1.558,15.078,11.456,0.16,5.358,1.235,34.846,4.47,43.27,32.88,0.46,15.38,3.54,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-32.73,-23.02,-27.17,0,24
SIM_000075,Siachen,5400.0,FLOOR,INFILTRATION,2.916,3.22,23.568,2.203,7.751,0.138,39.797,7.33,8.09,59.22,5.53,19.48,0.35,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-40.9,-37.0,-38.69,0,24
SIM_000076,Daulat Beg Oldie,5065.0,ROOF,FLOOR,2.067,6.719,5.651,0.873,1.922,0.962,18.193,11.36,36.93,31.06,4.8,10.56,5.29,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-38.99,-28.03,-32.22,0,24
SIM_000077,Galwan,4300.0,FLOOR,WALL,1.569,1.004,6.905,0.943,1.218,0.077,11.716,13.39,8.57,58.93,8.05,10.39,0.66,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.98,-21.11,-23.24,0,24
SIM_000078,Hanle,4500.0,FLOOR,INFILTRATION,1.988,1.238,8.681,0.668,5.214,0.139,17.928,11.09,6.91,48.42,3.72,29.08,0.78,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-19.03,-10.06,-13.14,0,24
SIM_000079,Nyoma,4180.0,FLOOR,ROOF,0.354,2.163,5.927,0.386,1.424,0.007,10.262,3.45,21.08,57.76,3.76,13.88,0.07,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-23.66,-13.5,-18.34,0,24
SIM_000080,Chushul,4350.0,ROOF,WALL,10.454,11.161,7.634,2.704,4.998,0.673,37.623,27.79,29.66,20.29,7.19,13.28,1.79,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-38.67,-31.9,-34.51,0,24
SIM_000081,Rezang La,5000.0,FLOOR,INFILTRATION,1.507,0.674,4.321,0.65,2.4,0.049,9.601,15.7,7.02,45.01,6.77,24.99,0.51,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-30.56,-22.72,-25.82,0,24
SIM_000082,Pangong,4250.0,ROOF,FLOOR,2.8,8.582,7.402,0.212,4.628,0.943,24.566,11.4,34.93,30.13,0.86,18.84,3.84,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-27.96,-18.76,-22.58,0,24
SIM_000083,Depsang,5330.0,ROOF,FLOOR,1.974,16.718,11.972,0.509,1.448,1.873,34.495,5.72,48.47,34.71,1.48,4.2,5.43,100.01,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-49.05,-39.79,-43.37,0,24
SIM_000084,Kargil,2676.0,FLOOR,WALL,2.05,1.46,8.341,0.509,1.312,0.095,13.768,14.89,10.61,60.58,3.7,9.53,0.69,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-14.87,-9.29,-11.19,0,24
SIM_000085,Leh,3500.0,FLOOR,WALL,1.621,0.717,3.286,0.027,1.287,0.007,6.945,23.33,10.32,47.31,0.39,18.54,0.1,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-15.5,-11.87,-13.52,0,24
SIM_000086,Dras,3280.0,FLOOR,INFILTRATION,2.933,1.655,11.238,1.162,4.822,0.263,22.073,13.29,7.5,50.91,5.26,21.84,1.19,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-18.7,-14.02,-15.57,0,24
SIM_000087,Siachen,5400.0,WALL,FLOOR,8.05,0.529,5.506,0.385,2.277,0.009,16.756,48.04,3.16,32.86,2.3,13.59,0.05,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-32.92,-28.52,-30.68,0,24
SIM_000088,Daulat Beg Oldie,5065.0,WALL,FLOOR,18.27,2.063,16.282,3.077,2.611,0.145,42.447,43.04,4.86,38.36,7.25,6.15,0.34,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-44.27,-38.28,-40.73,0,24
SIM_000089,Galwan,4300.0,WALL,FLOOR,9.288,1.05,4.949,0.587,1.821,0.049,17.745,52.35,5.92,27.89,3.31,10.26,0.28,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-24.26,-19.11,-21.58,0,24
SIM_000090,Hanle,4500.0,FLOOR,INFILTRATION,1.607,1.05,6.524,0.41,5.155,0.047,14.793,10.87,7.1,44.1,2.77,34.85,0.32,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.76,-20.53,-24.3,0,24
SIM_000091,Nyoma,4180.0,WALL,FLOOR,9.732,2.157,5.764,0.901,2.646,0.185,21.385,45.51,10.09,26.95,4.21,12.37,0.86,99.99,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-32.16,-25.39,-28.53,0,24
SIM_000092,Chushul,4350.0,FLOOR,INFILTRATION,1.65,0.654,10.01,0.535,3.695,0.076,16.621,9.93,3.93,60.23,3.22,22.23,0.46,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-24.75,-19.79,-21.32,0,24
SIM_000093,Rezang La,5000.0,FLOOR,WALL,3.769,0.819,7.531,0.755,0.739,0.068,13.68,27.55,5.98,55.05,5.52,5.4,0.5,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-28.64,-23.42,-25.1,0,24
SIM_000094,Pangong,4250.0,ROOF,FLOOR,1.602,10.239,7.723,1.77,3.571,1.837,26.742,5.99,38.29,28.88,6.62,13.35,6.87,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-18.08,-11.22,-13.45,0,24
SIM_000095,Depsang,5330.0,FLOOR,INFILTRATION,1.154,0.765,7.478,1.559,4.544,0.021,15.519,7.44,4.93,48.19,10.04,29.28,0.13,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-35.88,-28.58,-31.63,0,24
SIM_000096,Kargil,2676.0,WALL,FLOOR,11.107,1.43,8.947,1.841,0.242,0.133,23.699,46.87,6.03,37.75,7.77,1.02,0.56,100.0,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-22.76,-20.02,-20.97,0,24
SIM_000097,Leh,3500.0,FLOOR,INFILTRATION,0.8,2.66,6.429,0.068,2.954,0.481,13.393,5.98,19.86,48.0,0.51,22.05,3.59,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-11.1,-6.8,-8.95,0,24
