region,location,climate_description,recommended_material,application,thermal_climate_reason,engineering_notes,recommendation_confidence,thermal_insulation_score,durability_score,thermal_mass_or_envelope_score,constructability_score,data_status,synthetic_flag,source_note,linked_dataset_key
Uttarakhand,Niti_Pass,"Very high altitude, cold, snow, wind",Insulated sandwich panel,wall/roof,Low heat loss with lightweight envelope,Weather sealing required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Niti_Pass
Uttarakhand,Gunji,"Cold, high-altitude mountain climate",Stone masonry + insulation,wall,Mass plus insulation suitable for temperature swings,Moisture and freeze-thaw detailing,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Gunji
Uttarakhand,Lipulekh_Approach,"Very high altitude, cold, snow, wind",Insulated sandwich panel,wall/roof,Low-k envelope minimizes conductive losses,Engineer snow/wind loads,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Lipulekh_Approach
Uttarakhand,Munsiyari_High_Camp,"Cold, snowy mountain climate",Wood timber + insulation,wall/roof,Lightweight insulated construction option,Moisture/fire protection required,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Munsiyari_High_Camp
Uttarakhand,Auli_High_Camp,"Cold, snowy mountain climate",Wood timber + insulation,wall/roof,Good insulation potential with lightweight construction,Snow/moisture detailing required,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Auli_High_Camp
Sikkim,Nathu_La,"Cold, wet, snowy, high wind",Insulated sandwich panel,wall/roof,Insulation and moisture-resistant envelope are priorities,"Drainage, vapor and snow detailing required",HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Nathu_La
Sikkim,Changu_Lake,"Cold, wet, snowy mountain climate",Wood timber + insulation,wall/roof,Lightweight insulated envelope,Strong moisture and fire protection required,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Changu_Lake
Sikkim,Gurudongmar,"Very cold, high altitude, snow, wind",Insulated sandwich panel,wall/roof,High insulation priority,Structural anchorage and weather sealing required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Gurudongmar
Sikkim,North_Sikkim_High_Camp,"Cold, wet, snowy, high altitude",Insulated sandwich panel,wall/roof,Low-k envelope with good weather resistance,Moisture management is critical,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",North_Sikkim_High_Camp
Arunachal_Pradesh,Tawang,"Cold, wet mountain climate, snow possible",Stone masonry + insulation,wall,Durable mass wall with insulated layer,Moisture and seismic detailing required,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Tawang
Arunachal_Pradesh,Bum_La,"Very cold, high altitude, snow, wind",Insulated sandwich panel,wall/roof,High insulation and lightweight construction,Engineer snow/wind anchorage,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Bum_La
Arunachal_Pradesh,Se_La,"Cold, snowy, high altitude",Insulated sandwich panel,wall/roof,Strong insulation priority,Moisture and snow detailing required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Se_La
Arunachal_Pradesh,Dirang_High_Camp,"Cold mountain climate, wetter than Ladakh",Wood timber + insulation,wall/roof,Lightweight envelope with insulation,Protect against moisture and biological decay,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Dirang_High_Camp
